machine_id,cpu,gpu,ram_gb,os,engine_version,build_config,rhi,affinity,core_count,substrate,scenario,param_n,param_extra,repeat_index,warmup_seconds,measured_seconds,measured_frames,average_fps,hitch_ratio,render_bound,warnings,frame_ms_median,frame_ms_p95,frame_ms_min,frame_ms_max,scenario_ms_median,scenario_ms_p95,game_ms_median,game_ms_p95,render_ms_median,gpu_ms_median
desktop-13900kf,13th Gen Intel(R) Core(TM) i9-13900KF,NVIDIA GeForce RTX 4060 Ti,128,10.0.26200.1.256.64bit,5.8.1-56057345+++UE5+Release-5.8,Development,D3D12 (SM6),FFFF,32,False,tickvstimer,10000,mode=timer;tickgroup=prephysics,4,3.001,10.001,4301,430.1,0.3362,True,히치 33.6% (1446 프레임). 백그라운드 프로세스와 코어 고정을 확인한다 | 렌더 스레드(1.283ms)가 게임 스레드(1.035ms)보다 크다. CPU 항목이면 -nullrhi 로 돌린다,1.2146,5.3008,0.5411,27.3098,0.0004,0.0008,1.0352,5.0289,1.2832,0.4325
desktop-13900kf,13th Gen Intel(R) Core(TM) i9-13900KF,NVIDIA GeForce RTX 4060 Ti,128,10.0.26200.1.256.64bit,5.8.1-56057345+++UE5+Release-5.8,Development,D3D12 (SM6),FFFF,32,False,tickvstimer,1000,mode=disabled;tickgroup=prephysics,0,3.001,10.001,6545,654.4,0.01681,True,히치 1.7% (110 프레임). 백그라운드 프로세스와 코어 고정을 확인한다 | 렌더 스레드(1.471ms)가 게임 스레드(0.822ms)보다 크다. CPU 항목이면 -nullrhi 로 돌린다,1.4895,2.0751,0.6584,21.2968,0.0004,0.0007,0.8224,1.1833,1.4714,0.3503
desktop-13900kf,13th Gen Intel(R) Core(TM) i9-13900KF,NVIDIA GeForce RTX 4060 Ti,128,10.0.26200.1.256.64bit,5.8.1-56057345+++UE5+Release-5.8,Development,D3D12 (SM6),FFFF,32,False,tickvstimer,1000,mode=disabled;tickgroup=prephysics,1,3.0,10.002,6529,652.8,0.01593,True,히치 1.6% (104 프레임). 백그라운드 프로세스와 코어 고정을 확인한다 | 렌더 스레드(1.481ms)가 게임 스레드(0.828ms)보다 크다. CPU 항목이면 -nullrhi 로 돌린다,1.4972,2.0604,0.6532,22.2356,0.0005,0.0007,0.8277,1.1666,1.481,0.3501
desktop-13900kf,13th Gen Intel(R) Core(TM) i9-13900KF,NVIDIA GeForce RTX 4060 Ti,128,10.0.26200.1.256.64bit,5.8.1-56057345+++UE5+Release-5.8,Development,D3D12 (SM6),FFFF,32,False,tickvstimer,1000,mode=disabled;tickgroup=prephysics,2,3.0,10.0,6606,660.6,0.02013,True,히치 2.0% (133 프레임). 백그라운드 프로세스와 코어 고정을 확인한다 | 렌더 스레드(1.455ms)가 게임 스레드(0.831ms)보다 크다. CPU 항목이면 -nullrhi 로 돌린다,1.4733,2.0594,0.6424,22.0835,0.0004,0.0008,0.8309,1.1921,1.4549,0.3511
desktop-13900kf,13th Gen Intel(R) Core(TM) i9-13900KF,NVIDIA GeForce RTX 4060 Ti,128,10.0.26200.1.256.64bit,5.8.1-56057345+++UE5+Release-5.8,Development,D3D12 (SM6),FFFF,32,False,tickvstimer,1000,mode=disabled;tickgroup=prephysics,3,3.001,10.0,6538,653.8,0.03503,True,히치 3.5% (229 프레임). 백그라운드 프로세스와 코어 고정을 확인한다 | 렌더 스레드(1.460ms)가 게임 스레드(0.822ms)보다 크다. CPU 항목이면 -nullrhi 로 돌린다,1.4759,2.1235,0.6119,22.7913,0.0005,0.0009,0.8219,1.2574,1.4602,0.3507
desktop-13900kf,13th Gen Intel(R) Core(TM) i9-13900KF,NVIDIA GeForce RTX 4060 Ti,128,10.0.26200.1.256.64bit,5.8.1-56057345+++UE5+Release-5.8,Development,D3D12 (SM6),FFFF,32,False,tickvstimer,1000,mode=disabled;tickgroup=prephysics,4,3.001,10.0,6494,649.4,0.02279,True,히치 2.3% (148 프레임). 백그라운드 프로세스와 코어 고정을 확인한다 | 렌더 스레드(1.475ms)가 게임 스레드(0.823ms)보다 크다. CPU 항목이면 -nullrhi 로 돌린다,1.4978,2.1016,0.6721,20.7198,0.0004,0.0006,0.8232,1.1986,1.475,0.3503
desktop-13900kf,13th Gen Intel(R) Core(TM) i9-13900KF,NVIDIA GeForce RTX 4060 Ti,128,10.0.26200.1.256.64bit,5.8.1-56057345+++UE5+Release-5.8,Development,D3D12 (SM6),FFFF,32,False,tickvstimer,1000,mode=tick;tickgroup=prephysics,0,3.001,10.001,5931,593.0,0.00725,True,렌더 스레드(1.624ms)가 게임 스레드(1.216ms)보다 크다. CPU 항목이면 -nullrhi 로 돌린다,1.6571,2.2116,0.9307,26.8768,0.0006,0.0009,1.2158,1.6981,1.6237,0.3492
desktop-13900kf,13th Gen Intel(R) Core(TM) i9-13900KF,NVIDIA GeForce RTX 4060 Ti,128,10.0.26200.1.256.64bit,5.8.1-56057345+++UE5+Release-5.8,Development,D3D12 (SM6),FFFF,32,False,tickvstimer,1000,mode=tick;tickgroup=prephysics,1,3.001,10.001,6349,634.8,0.0167,True,히치 1.7% (106 프레임). 백그라운드 프로세스와 코어 고정을 확인한다 | 렌더 스레드(1.493ms)가 게임 스레드(1.218ms)보다 크다. CPU 항목이면 -nullrhi 로 돌린다,1.5411,2.1141,0.8417,21.0536,0.0006,0.0009,1.2183,1.7321,1.4927,0.3498
desktop-13900kf,13th Gen Intel(R) Core(TM) i9-13900KF,NVIDIA GeForce RTX 4060 Ti,128,10.0.26200.1.256.64bit,5.8.1-56057345+++UE5+Release-5.8,Development,D3D12 (SM6),FFFF,32,False,tickvstimer,1000,mode=tick;tickgroup=prephysics,2,3.001,10.001,6201,620.0,0.01564,True,히치 1.6% (97 프레임). 백그라운드 프로세스와 코어 고정을 확인한다 | 렌더 스레드(1.546ms)가 게임 스레드(1.133ms)보다 크다. CPU 항목이면 -nullrhi 로 돌린다,1.5708,2.1715,0.8618,21.0448,0.0006,0.0009,1.133,1.5948,1.5456,0.3488
desktop-13900kf,13th Gen Intel(R) Core(TM) i9-13900KF,NVIDIA GeForce RTX 4060 Ti,128,10.0.26200.1.256.64bit,5.8.1-56057345+++UE5+Release-5.8,Development,D3D12 (SM6),FFFF,32,False,tickvstimer,1000,mode=tick;tickgroup=prephysics,3,3.001,10.001,6271,627.0,0.00877,True,렌더 스레드(1.531ms)가 게임 스레드(1.212ms)보다 크다. CPU 항목이면 -nullrhi 로 돌린다,1.5671,2.1107,0.8518,22.5583,0.0006,0.0009,1.2123,1.7058,1.5313,0.3486
desktop-13900kf,13th Gen Intel(R) Core(TM) i9-13900KF,NVIDIA GeForce RTX 4060 Ti,128,10.0.26200.1.256.64bit,5.8.1-56057345+++UE5+Release-5.8,Development,D3D12 (SM6),FFFF,32,False,tickvstimer,1000,mode=tick;tickgroup=prephysics,4,3.001,10.001,6167,616.6,0.01297,True,히치 1.3% (80 프레임). 백그라운드 프로세스와 코어 고정을 확인한다 | 렌더 스레드(1.554ms)가 게임 스레드(1.219ms)보다 크다. CPU 항목이면 -nullrhi 로 돌린다,1.5875,2.1442,0.8405,20.9417,0.0005,0.0009,1.2189,1.7073,1.5541,0.349
desktop-13900kf,13th Gen Intel(R) Core(TM) i9-13900KF,NVIDIA GeForce RTX 4060 Ti,128,10.0.26200.1.256.64bit,5.8.1-56057345+++UE5+Release-5.8,Development,D3D12 (SM6),FFFF,32,False,tickvstimer,1000,mode=timer;tickgroup=prephysics,0,3.0,10.001,6361,636.0,0.01211,True,히치 1.2% (77 프레임). 백그라운드 프로세스와 코어 고정을 확인한다 | 렌더 스레드(1.515ms)가 게임 스레드(0.944ms)보다 크다. CPU 항목이면 -nullrhi 로 돌린다,1.5493,2.0898,0.5693,23.7993,0.0006,0.001,0.9443,1.4811,1.5151,0.3496
desktop-13900kf,13th Gen Intel(R) Core(TM) i9-13900KF,NVIDIA GeForce RTX 4060 Ti,128,10.0.26200.1.256.64bit,5.8.1-56057345+++UE5+Release-5.8,Development,D3D12 (SM6),FFFF,32,False,tickvstimer,1000,mode=timer;tickgroup=prephysics,1,3.01,10.001,6532,653.2,0.01684,True,히치 1.7% (110 프레임). 백그라운드 프로세스와 코어 고정을 확인한다 | 렌더 스레드(1.479ms)가 게임 스레드(0.900ms)보다 크다. CPU 항목이면 -nullrhi 로 돌린다,1.4961,2.0713,0.6099,21.8568,0.0005,0.0009,0.9005,1.4119,1.4786,0.3507
desktop-13900kf,13th Gen Intel(R) Core(TM) i9-13900KF,NVIDIA GeForce RTX 4060 Ti,128,10.0.26200.1.256.64bit,5.8.1-56057345+++UE5+Release-5.8,Development,D3D12 (SM6),FFFF,32,False,tickvstimer,1000,mode=timer;tickgroup=prephysics,2,3.0,10.0,6660,666.0,0.01952,True,히치 2.0% (130 프레임). 백그라운드 프로세스와 코어 고정을 확인한다 | 렌더 스레드(1.446ms)가 게임 스레드(0.869ms)보다 크다. CPU 항목이면 -nullrhi 로 돌린다,1.4612,2.0482,0.5457,24.5601,0.0005,0.0008,0.8695,1.3513,1.4463,0.3507
desktop-13900kf,13th Gen Intel(R) Core(TM) i9-13900KF,NVIDIA GeForce RTX 4060 Ti,128,10.0.26200.1.256.64bit,5.8.1-56057345+++UE5+Release-5.8,Development,D3D12 (SM6),FFFF,32,False,tickvstimer,1000,mode=timer;tickgroup=prephysics,3,3.001,10.001,6287,628.7,0.0097,True,렌더 스레드(1.557ms)가 게임 스레드(0.861ms)보다 크다. CPU 항목이면 -nullrhi 로 돌린다,1.5756,2.1131,0.5924,22.4373,0.0004,0.0007,0.8608,1.3201,1.5568,0.3503
desktop-13900kf,13th Gen Intel(R) Core(TM) i9-13900KF,NVIDIA GeForce RTX 4060 Ti,128,10.0.26200.1.256.64bit,5.8.1-56057345+++UE5+Release-5.8,Development,D3D12 (SM6),FFFF,32,False,tickvstimer,1000,mode=timer;tickgroup=prephysics,4,3.0,10.001,6475,647.4,0.01328,True,히치 1.3% (86 프레임). 백그라운드 프로세스와 코어 고정을 확인한다 | 렌더 스레드(1.501ms)가 게임 스레드(0.849ms)보다 크다. CPU 항목이면 -nullrhi 로 돌린다,1.5124,2.0679,0.5656,20.0827,0.0004,0.0008,0.8489,1.2878,1.5013,0.3502
desktop-13900kf,13th Gen Intel(R) Core(TM) i9-13900KF,NVIDIA GeForce RTX 4060 Ti,128,10.0.26200.1.256.64bit,5.8.1-56057345+++UE5+Release-5.8,Development,D3D12 (SM6),FFFF,32,False,tickvstimer,100,mode=disabled;tickgroup=prephysics,0,3.002,10.001,6258,625.7,0.01198,True,히치 1.2% (75 프레임). 백그라운드 프로세스와 코어 고정을 확인한다 | 렌더 스레드(1.551ms)가 게임 스레드(0.808ms)보다 크다. CPU 항목이면 -nullrhi 로 돌린다,1.5701,2.1222,0.7038,23.5356,0.0004,0.0007,0.8078,1.161,1.5507,0.3485
desktop-13900kf,13th Gen Intel(R) Core(TM) i9-13900KF,NVIDIA GeForce RTX 4060 Ti,128,10.0.26200.1.256.64bit,5.8.1-56057345+++UE5+Release-5.8,Development,D3D12 (SM6),FFFF,32,False,tickvstimer,100,mode=disabled;tickgroup=prephysics,1,3.0,10.002,6020,601.9,0.00664,True,렌더 스레드(1.613ms)가 게임 스레드(0.844ms)보다 크다. CPU 항목이면 -nullrhi 로 돌린다,1.6392,2.1694,0.7015,24.6097,0.0005,0.0009,0.8444,1.1791,1.6133,0.349
desktop-13900kf,13th Gen Intel(R) Core(TM) i9-13900KF,NVIDIA GeForce RTX 4060 Ti,128,10.0.26200.1.256.64bit,5.8.1-56057345+++UE5+Release-5.8,Development,D3D12 (SM6),FFFF,32,False,tickvstimer,100,mode=disabled;tickgroup=prephysics,2,3.0,10.0,5939,593.9,0.00488,True,렌더 스레드(1.645ms)가 게임 스레드(0.857ms)보다 크다. CPU 항목이면 -nullrhi 로 돌린다,1.6627,2.1899,0.7238,20.675,0.0006,0.0009,0.8573,1.2239,1.6455,0.3476
desktop-13900kf,13th Gen Intel(R) Core(TM) i9-13900KF,NVIDIA GeForce RTX 4060 Ti,128,10.0.26200.1.256.64bit,5.8.1-56057345+++UE5+Release-5.8,Development,D3D12 (SM6),FFFF,32,False,tickvstimer,100,mode=disabled;tickgroup=prephysics,3,3.002,10.0,5894,589.4,0.00543,True,렌더 스레드(1.650ms)가 게임 스레드(0.842ms)보다 크다. CPU 항목이면 -nullrhi 로 돌린다,1.6756,2.1843,0.6641,22.7494,0.0004,0.0007,0.8425,1.1985,1.6504,0.3478
desktop-13900kf,13th Gen Intel(R) Core(TM) i9-13900KF,NVIDIA GeForce RTX 4060 Ti,128,10.0.26200.1.256.64bit,5.8.1-56057345+++UE5+Release-5.8,Development,D3D12 (SM6),FFFF,32,False,tickvstimer,100,mode=disabled;tickgroup=prephysics,4,3.001,10.001,5859,585.8,0.00495,True,렌더 스레드(1.665ms)가 게임 스레드(0.849ms)보다 크다. CPU 항목이면 -nullrhi 로 돌린다,1.692,2.2084,0.7128,20.6338,0.0005,0.0008,0.8486,1.2089,1.6653,0.3476
desktop-13900kf,13th Gen Intel(R) Core(TM) i9-13900KF,NVIDIA GeForce RTX 4060 Ti,128,10.0.26200.1.256.64bit,5.8.1-56057345+++UE5+Release-5.8,Development,D3D12 (SM6),FFFF,32,False,tickvstimer,100,mode=tick;tickgroup=prephysics,0,3.001,10.001,6303,630.2,0.01126,True,히치 1.1% (71 프레임). 백그라운드 프로세스와 코어 고정을 확인한다 | 렌더 스레드(1.539ms)가 게임 스레드(0.875ms)보다 크다. CPU 항목이면 -nullrhi 로 돌린다,1.5568,2.0926,0.6329,25.0684,0.0005,0.0008,0.8753,1.2482,1.5386,0.3493
desktop-13900kf,13th Gen Intel(R) Core(TM) i9-13900KF,NVIDIA GeForce RTX 4060 Ti,128,10.0.26200.1.256.64bit,5.8.1-56057345+++UE5+Release-5.8,Development,D3D12 (SM6),FFFF,32,False,tickvstimer,100,mode=tick;tickgroup=prephysics,1,3.0,10.002,6519,651.8,0.01273,True,히치 1.3% (83 프레임). 백그라운드 프로세스와 코어 고정을 확인한다 | 렌더 스레드(1.483ms)가 게임 스레드(0.885ms)보다 크다. CPU 항목이면 -nullrhi 로 돌린다,1.5009,2.0583,0.6742,26.2053,0.0005,0.0008,0.8851,1.2559,1.4834,0.3503
desktop-13900kf,13th Gen Intel(R) Core(TM) i9-13900KF,NVIDIA GeForce RTX 4060 Ti,128,10.0.26200.1.256.64bit,5.8.1-56057345+++UE5+Release-5.8,Development,D3D12 (SM6),FFFF,32,False,tickvstimer,100,mode=tick;tickgroup=prephysics,2,3.001,10.0,6617,661.7,0.01919,True,히치 1.9% (127 프레임). 백그라운드 프로세스와 코어 고정을 확인한다 | 렌더 스레드(1.452ms)가 게임 스레드(0.869ms)보다 크다. CPU 항목이면 -nullrhi 로 돌린다,1.4713,2.0547,0.629,20.2741,0.0006,0.0009,0.8694,1.2448,1.452,0.3502
desktop-13900kf,13th Gen Intel(R) Core(TM) i9-13900KF,NVIDIA GeForce RTX 4060 Ti,128,10.0.26200.1.256.64bit,5.8.1-56057345+++UE5+Release-5.8,Development,D3D12 (SM6),FFFF,32,False,tickvstimer,100,mode=tick;tickgroup=prephysics,3,3.001,10.0,6370,637.0,0.01491,True,히치 1.5% (95 프레임). 백그라운드 프로세스와 코어 고정을 확인한다 | 렌더 스레드(1.518ms)가 게임 스레드(0.892ms)보다 크다. CPU 항목이면 -nullrhi 로 돌린다,1.5384,2.0929,0.6831,21.7902,0.0006,0.0009,0.8922,1.2638,1.5177,0.3494
desktop-13900kf,13th Gen Intel(R) Core(TM) i9-13900KF,NVIDIA GeForce RTX 4060 Ti,128,10.0.26200.1.256.64bit,5.8.1-56057345+++UE5+Release-5.8,Development,D3D12 (SM6),FFFF,32,False,tickvstimer,100,mode=tick;tickgroup=prephysics,4,3.001,10.002,6560,655.9,0.01463,True,히치 1.5% (96 프레임). 백그라운드 프로세스와 코어 고정을 확인한다 | 렌더 스레드(1.467ms)가 게임 스레드(0.858ms)보다 크다. CPU 항목이면 -nullrhi 로 돌린다,1.4905,2.0237,0.6233,24.0103,0.0004,0.0008,0.8577,1.2185,1.4675,0.3498
desktop-13900kf,13th Gen Intel(R) Core(TM) i9-13900KF,NVIDIA GeForce RTX 4060 Ti,128,10.0.26200.1.256.64bit,5.8.1-56057345+++UE5+Release-5.8,Development,D3D12 (SM6),FFFF,32,False,tickvstimer,100,mode=timer;tickgroup=prephysics,0,3.001,10.001,6563,656.2,0.01676,True,히치 1.7% (110 프레임). 백그라운드 프로세스와 코어 고정을 확인한다 | 렌더 스레드(1.470ms)가 게임 스레드(0.823ms)보다 크다. CPU 항목이면 -nullrhi 로 돌린다,1.4895,2.041,0.6333,22.914,0.0004,0.0007,0.8229,1.1668,1.4705,0.3496
desktop-13900kf,13th Gen Intel(R) Core(TM) i9-13900KF,NVIDIA GeForce RTX 4060 Ti,128,10.0.26200.1.256.64bit,5.8.1-56057345+++UE5+Release-5.8,Development,D3D12 (SM6),FFFF,32,False,tickvstimer,100,mode=timer;tickgroup=prephysics,1,3.0,10.001,6679,667.9,0.02051,True,히치 2.1% (137 프레임). 백그라운드 프로세스와 코어 고정을 확인한다 | 렌더 스레드(1.450ms)가 게임 스레드(0.776ms)보다 크다. CPU 항목이면 -nullrhi 로 돌린다,1.4584,2.0442,0.6326,21.1319,0.0004,0.0007,0.7761,1.1116,1.4497,0.3514
desktop-13900kf,13th Gen Intel(R) Core(TM) i9-13900KF,NVIDIA GeForce RTX 4060 Ti,128,10.0.26200.1.256.64bit,5.8.1-56057345+++UE5+Release-5.8,Development,D3D12 (SM6),FFFF,32,False,tickvstimer,100,mode=timer;tickgroup=prephysics,2,3.0,10.001,6451,645.0,0.01829,True,히치 1.8% (118 프레임). 백그라운드 프로세스와 코어 고정을 확인한다 | 렌더 스레드(1.494ms)가 게임 스레드(0.864ms)보다 크다. CPU 항목이면 -nullrhi 로 돌린다,1.511,2.0942,0.6707,21.0925,0.0006,0.0009,0.864,1.2371,1.4943,0.3504
desktop-13900kf,13th Gen Intel(R) Core(TM) i9-13900KF,NVIDIA GeForce RTX 4060 Ti,128,10.0.26200.1.256.64bit,5.8.1-56057345+++UE5+Release-5.8,Development,D3D12 (SM6),FFFF,32,False,tickvstimer,100,mode=timer;tickgroup=prephysics,3,3.001,10.0,6503,650.3,0.0163,True,히치 1.6% (106 프레임). 백그라운드 프로세스와 코어 고정을 확인한다 | 렌더 스레드(1.485ms)가 게임 스레드(0.840ms)보다 크다. CPU 항목이면 -nullrhi 로 돌린다,1.5038,2.07,0.6556,25.0087,0.0005,0.0008,0.8398,1.2019,1.4845,0.3495
desktop-13900kf,13th Gen Intel(R) Core(TM) i9-13900KF,NVIDIA GeForce RTX 4060 Ti,128,10.0.26200.1.256.64bit,5.8.1-56057345+++UE5+Release-5.8,Development,D3D12 (SM6),FFFF,32,False,tickvstimer,100,mode=timer;tickgroup=prephysics,4,3.001,10.001,6334,633.3,0.01342,True,히치 1.3% (85 프레임). 백그라운드 프로세스와 코어 고정을 확인한다 | 렌더 스레드(1.539ms)가 게임 스레드(0.784ms)보다 크다. CPU 항목이면 -nullrhi 로 돌린다,1.5532,2.1423,0.6839,21.5776,0.0005,0.0009,0.7843,1.0754,1.5391,0.3509
